start_year,end_year,name,region,deaths_estimate,people_affected,sources_notes
1965,1967,Indian Bihar drought-famine,South Asia,2500000,80000000,"Brass; 2 consecutive monsoon failures"
1968,1985,Sahel Long Drought,Africa,250000,80000000,"Glantz; multi-decade desertification"
1972,1973,Sahel acute drought,Africa,100000,25000000,""
1973,1985,Ethiopian Wollo/Tigray droughts,Africa,1300000,8000000,"de Waal; multiple acute periods"
1974,1975,Bangladesh drought-famine,South Asia,1500000,,"Sen; complex causes including drought"
1983,1985,Ethiopian Great Famine drought,Africa,1000000,8000000,"de Waal; Live Aid era"
1988,1989,North American drought,North America,,,""
1991,1992,Southern African drought,Africa,,86000000,"Severe regional impact; few deaths due to aid"
2000,2002,Central Asian drought,Central Asia,,,"Iran/Afghanistan/Pakistan"
2001,2010,Australian Millennium Drought,Australia,,,"Worst in instrumental record; Murray-Darling basin"
2002,2003,European drought,Europe,80000,,"Heatwave + drought; mostly elderly mortality"
2003,2003,Russia-Eastern Europe drought,Eastern Europe,,,""
2005,2005,Amazon drought,South America,,,"Marengo et al.; record low Rio Negro"
2010,2010,Russian drought-heatwave,Russia,55000,,"Wheat export ban; ~55k heat-related deaths"
2010,2010,Amazon drought,South America,,,"Worse than 2005"
2011,2012,Horn of Africa drought,Africa,260000,13000000,"Somalia famine declared; FEWS NET"
2012,2017,California drought,North America,,,"Severe Western US; agricultural impact $4B+"
2015,2017,South Africa drought,Africa,,,"Cape Town water crisis"
2018,2018,Central European drought,Europe,,,""
2018,2019,Australian Eastern drought,Australia,,,"Murray-Darling fish kills"
2019,2020,Southern Madagascar drought,Africa,,1500000,"WPF; IPC Phase 5 alert"
2020,2023,Horn of Africa drought,Africa,43000,23000000,"WPF; five consecutive failed rainy seasons"
2022,2022,European drought,Europe,,,"Worst in 500 years per some metrics"
2022,2023,Argentina drought,South America,,,"Severe ag impact"
2023,2024,Amazon drought,South America,,,"Record-low Rio Negro Sept 2024; fires"
2023,2024,Panama Canal drought,Central America,,,"Significant shipping disruption"
2024,2024,Southern Africa drought,Africa,,17000000,"WFP estimates"
